Gender,breakfast,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,exercise,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,marital_status,mother_profession,parents_cook,pay_meal_out,soup,sports,type_sports,veggies_day,vitamins,weight
Female,Cereal,it is moderately important ,980,espresso shown,"chocolate, popcorn, ice cream","boredom, stress",boredom,"Whenever I can, but that is not very often  ",American,I eat three meals per day usually. I eat a lot of sandwiches and fruit.,healthy/balanced/moderated/,Orange Juice,I have eaten bigger meals.,worse,bigger quantity,1-2 times ,no,Twice or three times per week ,Biohemical Waste Elimination,italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,Senior,6,a lean protein plus the addition of 2-3 fruits and vegetables,My ideal diet would be eating multiple fruits and vegetables at each meal. Also I would only eat lean protein if possible.,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",neutral,very likely ,In a relationship ,Accountant,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Lacrosse,neutral ,no,150
Male,Cereal,nan,980,espresso shown,"CandyPopChocolate Chipotle Moe's ",No reasons ,none,"Never, I really do not know my way around a kitchen",American,Unhealthy foods from the cafe ,unhealthy/cheap/too much/random/,Soda,I eat more ,worse,bigger quantity,every day,no,Everyday,Corporate Manager ,Mexican ,Spanish/mexican,cooked at home ,Mcdonald’s fries,very likely ,Senior,3,Chicken breast with veggies ,"Red and white meats, potatoes, green beans ",adding veggies/eating healthier food/adding fruit,"higher than $100,000",neutral,likely ,In a relationship ,Marketing Analyst,1-2 times a week ,$10.01 to $20.00 ,veggie soup,Yes,Hockey,neutral ,no,175
Male,Cereal,it is moderately important ,315,creamy frapuccino,"Pizza, Ice cream, fries, cereal, cookies  ",Usually if I'm sad or depressed. ,depression/sadness,"Whenever I can, but that is not very often  ",American,"I will eat a full bleakest every morning consisting of eggs, potatoes, and a type of meat with juice. I will have a sandwich or something light for lunch. For dinner I will have meat and vegetables of some sort.  ",the same thing over and over,Soda,I eat pretty much the same as I use too. I do have more sweets now though. ,worse,more sweets,1-2 times ,no,Everyday,Small business owner ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,freshman ,10,A meal with all of the food groups. ,Idealy I would have basically the same breakfast as I do now just with more fruits. For lunch I would have more vegetables and fruits. For dinner I would have the same.   ,adding veggies/eating healthier food/adding fruit,"higher than $100,000",neutral,very likely ,Single,Middle school teacher,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,wrestling ,likely,no,140
Female,Cereal,it is very important,980,espresso shown,"Ice cream, chocolate, twizzlers ",Tired ,laziness,A couple of times a week ,American,I eat food ,unclear,Orange Juice,I do not make my own food very much,worse,worse quality ,3-5 times ,yes part time ,Everyday,Welder,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,6,a salad with chicken and 2 tablespoons of salad dressing ,I to eat enough food to sustain me throughout the entire day ,balance,"$30,001 to $50,000 ",neutral,very likely ,Single,Art teacher ,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,nan,very likely,yes,120
Female,Cereal,it is moderately important ,420,espresso shown,"ice cream, cookie dough, cookies, cheese","Boredom!, sadness",boredom,I only help a little during holidays ,American,"Light breakfast, yogurt or grandola bar. No luch but (healthy) snacks throughout this time period until dinner. Full dinner with meat, vegetables and fruit.",unhealthy/cheap/too much/random/,Soda,I do not make my own food,worse,worse quality ,1-2 times ,yes part time ,nan,Design Engineer,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,6,"Grilled chicken, side salad, rice and broccoli and cranberries",Same as above but with a more concrete lunch. Cut down on excessive snacking. ,portion control,"higher than $100,000",likely,very likely ,Single,Account Clerical ,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,nan,likely,no,135
Female,Cereal,it is not at all important,980,creamy frapuccino,"ice cream, cereal, and salt and vinegar chips ","All of the above; sadness, boredom and confusion ",depression/sadness,"Whenever I can, but that is not very often  ",American,"It needs some re-structuring. Mostly, I eat well but I would like to improve on my water, fruit and veggie consumption. ",unhealthy/cheap/too much/random/,Orange Juice,"Now I prepare my own meals, pack my lunch every day and avoid eating out to save money as much as possible.",better,healthier,Never,nan,nan,Unknown ,chinese,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,likely ,Junior,6,It is probably more on the green side and there is less fryed or overly seasoned food. There would be more organic foods rather than processed foods. ,"My ideal diet involves organic foods, more nuts, fruits, veggies and water and a complete absence of processed foods, genetically enhanced foods or fast foods. My ideal diet would be one that involves foods that are grown by me or close to me and one that is essentially best for my health.",adding veggies/eating healthier food/adding fruit,"$30,001 to $50,000 ",very likely ,very likely ,In a relationship ,Caretaker,Almost everyday ,$5.01 to $10.00 ,creamy soup,No,no particular engagement ,likely,yes,100
Female,Cereal,it is very important,420,espresso shown,"Potato chips, ice cream, chocolate, cookies","Stress, boredom, craving",stress,Every day ,American,"I am on a very balanced diet, eating 4-5 small meals a day filled with fruits, vegetables, lean meat, and good carbs. ",healthy/balanced/moderated/,Orange Juice,"I haven't changed much. If anything, I have become more disciplined. ",better,same food,1-2 times ,yes part time ,Everyday,Electrical Engineer,Thai food,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,very likely ,Senior,8,Mostly green!,"My ideal diet would be to be a vegetarian; however, considering my highly active lifestyle island strength requirement I need as much ""real"" protein I can get. ",more protein,"$70,001 to $100,000 ",very likely ,very likely ,Single,Secretary,Almost everyday ,more than $40.01 ,veggie soup,Yes,Volleyball,very likely,yes,170
Female,Cereal,it is moderately important ,315,espresso shown,"Mac and cheese, fried chicken, cornbread ","Hunger, boredom",hunger,"Whenever I can, but that is not very often  ",American,"Healthy, includes many fruits and vegetables. Probably too many carbs. ",healthy/balanced/moderated/,Orange Juice,I eat smaller portions more often,better,healthier,1-2 times ,yes part time ,nan,Banker,Greek,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,3,Colorful ,"The same as my current diet, maybe less carbs. ",current diet,"higher than $100,000",very likely ,very likely ,In a relationship ,Registered Nurse,2-3 times a week ,$20.01 to $30.00 ,veggie soup,No,none,very likely,no,113
Male,Cereal,it is not at all important,420,creamy frapuccino,"popcorn, chips, candy, & fries ","sadness, boredom, & anger ",depression/sadness,"Whenever I can, but that is not very often  ",American,At school I eat a lot of pizza or burgers with fries. Occasionally I try to have a salad or a fruit juice with this. I also try to eat more of a home cooked meal with vegetables.,unhealthy/cheap/too much/random/,Soda,Eating more pizza and burgers or fast food.  ,worse,bigger quantity,1-2 times ,yes part time ,Twice or three times per week ,subcontractor ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,freshman ,4,A meal that you have cooked yourself without a lot of grease or fat in it.  ,More of a home cooked meal that is not very greasy. Also includes more fruits and vegetables. ,home cooked/organic,"$50,001 to $70,000 ",neutral,very likely ,Single,telemarketer ,2-3 times a week ,$10.01 to $20.00 ,veggie soup,Yes,soccer ,likely,no,168
Male,Cereal,nan,980,espresso shown,"Chex-mix, Wegmans cookies, Cheez-Its ","Boredom, happiness, distraught ",boredom,I only help a little during holidays ,American,lots of pasta and carbs along with lean meats. Also at time some soda and junk food,unhealthy/cheap/too much/random/,Orange Juice,Cereal became an anytime of day food,worse,worse quality ,1-2 times ,nan,Everyday,small business owner ,Italian ,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,freshman ,8,"good balance between meats, grains, fruits, vegetables, carbs, and dairy products ",To cut out the junk food and eat more meat and less pasta. Also eat more fruits and vegetables  ,more protein,"higher than $100,000",unlikely,likely ,Single,nurse,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,wrestling & rowing,very likely,no,145
Male,Donut,nan,315,creamy frapuccino,"pizza, ice cream, chips","stressed, upset, or just craving a cheat meal",stress,I only help a little during holidays ,American,"My current diet consists of cafeteria food, which isn't necessarily ideal. I try to eat as healthy as possible but I find myself turning to unhealthy food more often than healthy.",unhealthy/cheap/too much/random/,Soda,Transitioning from home-cooked meals to cafeteria food,worse,worse quality ,1-2 times ,no,Everyday,House Appraiser,Asian ,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,2,one that is well balanced and consists on main food groups,One that consists of a lot of mean and also fruits and vegetables. Drink a lot of water as well.,more protein,"$70,001 to $100,000 ",likely,very likely ,Single,Banker,Almost everyday ,$10.01 to $20.00 ,creamy soup,Yes,Wrestling,very likely,yes,155
Male,Cereal,it is moderately important ,315,espresso shown,"fried chicken. mashed potatoes, mac and cheese",They taste better than other food. They are a pickme up. They are easy to make,laziness,"Whenever I can, but that is not very often  ",Mexican/Spanish,I eat alot carbs. Protein (meat) is beautiful.,unhealthy/cheap/too much/random/,Orange Juice,I definitely eat less veggies. ,worse,worse quality ,1-2 times ,nan,Twice or three times per week ,not sure,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,Junior,9,lots of green and color.,I would eat more veggies with a equal balance of carbs and protein. More international flavors would be great.,adding veggies/eating healthier food/adding fruit,"$30,001 to $50,000 ",likely,very likely ,In a relationship ,Office assistant,2-3 times a week ,more than $40.01 ,creamy soup,No,none,neutral ,no,150
Male,Cereal,it is moderately important ,420,espresso shown,"Popcorn, Chex Mix, Pizza","Stress, boredom",stress,"Never, I really do not know my way around a kitchen",American,Healthier than most but not 100% clean.,healthy/balanced/moderated/,Orange Juice,I have started eating a lot healthier.,better,healthier,1-2 times ,no,Everyday,Fireman,American,American,store bought ,Mcdonald’s fries,likely ,Junior,8,"Balance of veggies, white meat, fruits, and grains.","No artificial sugars, only natural foods.",less sugar,"less than $15,000 ",very unlikely ,neutral,Single,Secretary,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,nan,very likely,no,169
Male,Cereal,it is very important,980,creamy frapuccino,Burger,Lazy,laziness,"Whenever I can, but that is not very often  ",American,Great ,unclear,Orange Juice,Mediocre ,worse,worse quality ,2-3 times ,no,Everyday,President of Automotive company ,All ,none,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,8,Chicken ,Organic ,home cooked/organic,"higher than $100,000",very likely ,very likely ,Single,Stay home,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Hockey,likely,yes,185
Male,Cereal,it is very important,420,espresso shown,"Pizza, chocolate, and ice cream ","Boredom, sadness and anger ",boredom,Every day ,American,My diet is mostly chicken rice and veggies. I mix in fruit between workouts and snacks like power bars and what not. ,the same thing over and over,Orange Juice,I eat very bad on the weekends. ,worse,worse quality ,every day,nan,Everyday,UPS driver ,Mexican ,Spanish/mexican,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,1,Low carbs and high protein ,One that maintains my goal weight. But also produces enough daily energy. ,balance,"$70,001 to $100,000 ",neutral,very likely ,Single,Unemployed ,Almost everyday ,$10.01 to $20.00 ,creamy soup,Yes,Lacrosse ,very likely,no,200
Male,Cereal,nan,980,espresso shown,"fries, chips, fried chicken, pizza, grapes","Boredom, sadness",boredom,I only help a little during holidays ,American,65 and out,unclear,Soda,nan,the same,same food,2-3 times ,nan,nan,HVAC Professional,Sub sandwhiches,American,both bought at store and cooked at home,Mcdonald’s fries,likely ,Senior,5,"Grilled, natural ingredients, and no carbonated beverages",Blend of instant gratification and healthy choices sourced sustainably,balance,"$30,001 to $50,000 ",unlikely,very likely ,Single,"Counseling, Teaching, Geologist, Psychic",Almost everyday ,$10.01 to $20.00 ,veggie soup,No,nan,likely,yes,265
Male,Cereal,it is moderately important ,420,espresso shown,"peanut butter sandwich, pretzals, garlic bread","stress, anger and boredom",stress,Every day ,Mexican/Spanish,Very healthy and clean. A lot of protein and vegetables,healthy/balanced/moderated/,Orange Juice,I eat a lot more healthier,better,healthier,2-3 times ,no,Everyday,Sergeant correctional officer,Italian,Italian/French/greek,cooked at home ,home fries,very likely ,Sophomore ,10,High protein and vegetables,Clean diet. High protein intake.,more protein,"higher than $100,000",likely,very likely ,Single,Teacher,Almost everyday ,more than $40.01 ,veggie soup,Yes,hockey,very likely,yes,165
Female,Donut,it is not at all important,315,espresso shown,"chips, dip, fries, pizza","bored, stress",boredom,"Whenever I can, but that is not very often  ",nan,What ever the dinning hall is serving. When i am hungry i look for something filling more then healthy. ,unhealthy/cheap/too much/random/,Soda,when i eat has changed alot. I have to eat at a certain time everyday or the dining hall wont have food.,unclear,timing,every day,no,Everyday,union worker,italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,freshman ,8,"the different colors of the rain bow. protein, fruit, veggies",My ideal diet is to eat less fast food in a week. Also to add something healthy like salad  to every meal or to have a salad for a meal. ,home cooked/organic,"$30,001 to $50,000 ",unlikely,very likely ,Single,factory worker,2-3 times a week ,$5.01 to $10.00 ,veggie soup,Yes,softball,likely,no,192
Male,Cereal,it is very important,315,espresso shown,"Pizza, Ice Cream, Chicken Wings",I usually only eat comfort foods when I am bored. I will also eat them when I am happy to celebrate and then when I am sad to comfort me.,boredom,"Whenever I can, but that is not very often  ",American,I usually eat very healthy. I incorporate fresh fruits and vegetables into every meal.,healthy/balanced/moderated/,Orange Juice,I have begun to eat more fruits and vegetables because I have been more aware of my physique.,better,healthier,3-5 times ,no,Everyday,Salesman,Thai,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,very likely ,Senior,1,Low protein and carbs and high in vegetables and fruits.,My ideal diet is to cut back on my meat intake and substitute it for other protein sources such as fish or tuna.,adding veggies/eating healthier food/adding fruit,"higher than $100,000",very likely ,very likely ,Single,Nurse,Almost everyday ,$20.01 to $30.00 ,veggie soup,Yes,Hockey,very likely,yes,175
Female,Cereal,it is very important,980,espresso shown,Pizza chocolate chips bagels ice Capps ,Just cause ,none,A couple of times a week ,American,I eat very heathy on a daily basis ,healthy/balanced/moderated/,Orange Juice,Really paid more attention to what I eat cause it is easy to gain ,better,healthier,2-3 times ,yes part time ,Everyday,Owns his business,Wraps ,American,both bought at store and cooked at home,home fries,likely ,Sophomore ,9,Chicken and broccoli ,"Fruits and vegetables, wheat bread, peanut butter, protein bars, protein shakes ",adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",unlikely,very likely ,Single,Sales,Almost everyday ,$10.01 to $20.00 ,creamy soup,Yes,softball,likely,yes,140
Female,Cereal,it is moderately important ,420,espresso shown,"Chocolate, ice cream, pasta","Stress, boredom, sadness",stress,Every day ,Mexican/Spanish,"For breakfast I have oatmeal. For lunch I have a sandwich and fruit. For dinner I usually have a piece of meat, rice or pasta, and a vegetable. ",the same thing over and over,Soda,More easy meals like pasta.,worse,more carbs or snacking,1-2 times ,yes part time ,Twice or three times per week ,Physical Therapist,Mexican,Spanish/mexican,cooked at home ,home fries,very likely ,Junior,4,"Fruit, vegetables, and protien",Ideally my diet would be similar to what I eat now. If I wasn't on a college budget I could spend more money on nicer meat and vegetables which would make my meals a lot better.,current diet,"$70,001 to $100,000 ",very likely ,very likely ,Single,Elementary School Principal,Almost everyday ,$20.01 to $30.00 ,veggie soup,Yes,Skiing,very likely,yes,155
Female,Cereal,nan,420,espresso shown,Mac n Cheese. Chips and salsa. Ice cream. ,Boredom. Celebration. ,boredom,A couple of times a week ,American,Simple breakfast of cereal or yogurt. Lunch is something like a deli meat sandwich. Dinner is a full meal. Veggies meat and starch. ,the same thing over and over,Soda,More snacking ,worse,more carbs or snacking,1-2 times ,no,nan,Insurance ,Italian ,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Senior,7,Proper serving sizes of almost anything ,Less cheese than I eat. ,portion control,"higher than $100,000",very likely ,very likely ,Single,Real Estate Agent ,2-3 times a week ,$10.01 to $20.00 ,creamy soup,Yes,skiing ,likely,no,155
Female,Cereal,it is very important,420,espresso shown,"peanut butter, dessets, pretzels. ","Sadness, boredom, lonely.",depression/sadness,A couple of times a week ,American,"My diet consists of fruits, vegetables, grains, dairy, and proteins.",healthy/balanced/moderated/,Soda,At first I ate less but now that I'm in season playing a sport I eat more.,the same,same food,every day,no,Everyday,Construction management ,Mexican ,Spanish/mexican,cooked at home ,Mcdonald’s fries,very likely ,freshman ,3,Half the plate fruit and vegetables. Other half grains and protein. Then a little dairy. ,The way I eat now I think is pretty good.,current diet,"higher than $100,000",very unlikely ,very likely ,Single,X-ray tech,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Water polo and running ,very likely,yes,135
Female,Cereal,it is not at all important,980,espresso shown,"Macaroons, truffles, peanut butter n chocolate ice cream","I do not really eat ""comfort food"" but I guess sadness, special occasions, and anxiety ",depression/sadness,A couple of times a week ,nan,"My diet is pretty healthy and consists of chicken, turcky, and veggies. I rarely eat unhealthy food or fast food.",healthy/balanced/moderated/,Orange Juice,"I have gotten healthier with my eating habits. As a result my parents starting eating healthier too, even though I do not live with them.",better,healthier,1-2 times ,yes part time ,Twice or three times per week ,Dead beat ,Mexican ,Spanish/mexican,store bought ,home fries,neutral ,Senior,2,"chicken, veggies, fruit, water ","My ideal diet would be to add more fruits and veggies. Also, to go to the gym more but school gets in the way. ",adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",unlikely,likely ,In a relationship ,Respiratory Therapist,Almost everyday ,$5.01 to $10.00 ,creamy soup,No,nan,neutral ,yes,118
Male,Cereal,it is very important,980,espresso shown,"ice cream, cookies, ice cream","boredom, sadness",boredom,"Whenever I can, but that is not very often  ",American,I try to eat as healthy as possible. 3 meals a day that are well-balanced.,healthy/balanced/moderated/,Orange Juice,As an athlete it is important to fuel my body with important foods only.,better,healthier,every day,yes part time ,Everyday,police force,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,Senior,2,"high protein, low fat, low carbs and sugar","High protein, low fat",more protein,"higher than $100,000",unlikely,very likely ,Single,Legal assistant,2-3 times a week ,$10.01 to $20.00 ,veggie soup,Yes,Ice Hockey,likely,yes,210
Female,Cereal,it is very important,980,espresso shown,"carrots and ranch, pretzels, dark chocolate ",sadness,depression/sadness,"Whenever I can, but that is not very often  ",Mexican/Spanish,"High in protein, fruits, and veggies. Low in fats.",healthy/balanced/moderated/,nan,nan,the same,same food,3-5 times ,no,Everyday,VP of GNC,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Junior,8,"high protein, fruit, veggies, low carbs and fat",My ideal diet is my diet. ,current diet,"$70,001 to $100,000 ",likely,likely ,In a relationship ,dietitian ,Almost everyday ,$10.01 to $20.00 ,nan,Yes,rowing ,very likely,no,180
Female,Cereal,it is moderately important ,420,creamy frapuccino,"cookies, nutella, ice cream, coffee, fruit ","Bordem, happiness, sadness",boredom,Every day ,American,"I eat fruit and vetagables with every meal. I only drink water, no soda. I tend to stay away from greasy food. ",healthy/balanced/moderated/,Orange Juice,"I ate more junk food, but also more fruit. ",worse,worse quality ,2-3 times ,yes part time ,Everyday,Owner of New York Lunch,Chinese cuisine (General Tso's),asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Sophomore ,3,Meal prep'd foods with food from each section on the food pyramid. ,"I want to eliminate all the junk food I ate. Besides that, I want to keep my diet the same. ",home cooked/organic,"$15,001 to $30,000 ",neutral,very likely ,In a relationship ,CNA ,Almost everyday ,$5.01 to $10.00 ,creamy soup,Yes,Volleyball,very likely,yes,140
Female,Cereal,nan,315,espresso shown,mac and cheese,boredom,boredom,A couple of times a week ,Mexican/Spanish,"I don't follow a diet, I eat whatever I want",unhealthy/cheap/too much/random/,Orange Juice,"I snack more, having fewer full meals",worse,more carbs or snacking,2-3 times ,no,Twice or three times per week ,Dentist,Italian,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,neutral ,Sophomore ,3,vegtables,"No, diet",current diet,"higher than $100,000",very unlikely ,very likely ,In a relationship ,Periodontist,2-3 times a week ,$30.01 to $40.00 ,veggie soup,No,None,neutral ,no,112
Female,Cereal,it is moderately important ,420,creamy frapuccino,"Chocolate, Popcorn, Icecream",sadness,depression/sadness,A couple of times a week ,American,"My current diet usually includes at least one serving of vegetables per day, and I usually am eating fruits and whole grain things. ",healthy/balanced/moderated/,Soda,"I eat more fried food, such as french fries.",worse,worse quality ,1-2 times ,no,nan,mechanic ,American ,American,cooked at home ,Mcdonald’s fries,very likely ,freshman ,3,"Milk for a drink, meat, a grain, vegetable, fruit for dinner",My ideal diet is my mom's home cooking. It's always healthy and organic. ,home cooked/organic,"$50,001 to $70,000 ",neutral,very likely ,In a relationship ,business,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,tennis  ,very likely,yes,125
Female,Cereal,it is not at all important,420,creamy frapuccino,"Ice cream, cake, mozzarella sticks, pierogies ",Boredom,boredom,I only help a little during holidays ,American,I typically try to eat healthy but being away at school makes it harder. I try to avoid junk food as well and trying to only eat it on the weekends.,unhealthy/cheap/too much/random/,Soda,I eat a lot less than I did at home but find myself snacking more than actual meals. ,worse,worse quality ,2-3 times ,yes part time ,Twice or three times per week ,Truck Driver ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,2,"It has protein, vegetables and some carbs ",I would like to get more protein in me. I would also like to eat healthier more consistently rather than here and there. ,more protein,"$70,001 to $100,000 ",unlikely,likely ,In a relationship ,Project Manager ,2-3 times a week ,$20.01 to $30.00 ,veggie soup,Yes,"Recreational Basketball, Equestrian Team",very likely,no,144 lbs
Female,Cereal,it is moderately important ,315,creamy frapuccino,"Chips, Mac and cheese, pizza, French fries ","Stress, sadness, bored ",stress,"Whenever I can, but that is not very often  ",American,My current diet is balanced and includes food from all the food groups. ,healthy/balanced/moderated/,Soda,I don't eat as healthy because there aren't as many healthy options at the dinning hall. ,worse,worse quality ,Never,no,Everyday,Dentist ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,freshman ,8,"Balanced between protein, veggies, and carbs",My ideal diet is a diet that makes me feel good but also allows me to eat junk food once in a while. ,balance,"higher than $100,000",unlikely,very likely ,In a relationship ,school teacher,Almost everyday ,$20.01 to $30.00 ,veggie soup,Yes,soccer,very likely,no,145
Female,Donut,it is very important,420,espresso shown,"Pizza, burritos, slim jims","Boredom, stress, and it tastes good",boredom,A couple of times a week ,nan,I am not vegetarian. I love red meat like steak and salami. I try to limit the amount of carbs I eat,unhealthy/cheap/too much/random/,Soda,Freshman year I did not watch my diet at all and really let myself go. I ate pizza and fries for almost every meal. Summer following freshman year I knew I needed to stop doing that so I cut out as many refined carbs as I could and try to eat healthier portions.,worse,worse quality ,1-2 times ,no,Twice or three times per week ,Sales Manager ,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,Junior,3,"Well portioned meat, veggies, and fruits. Water instead of a sugary drink like pop. ",My ideal diet would be cutting out red meats and sticking to leaner meats like turkey or chicken. Also keeping refined carbs out of my diet would be ideal.,less sugar,"higher than $100,000",very unlikely ,very likely ,In a relationship ,Homemaker,Almost everyday ,$10.01 to $20.00 ,creamy soup,No,None,very likely,yes,130
Female,Cereal,it is moderately important ,980,espresso shown,"Broccoli, spaghetti squash, quinoa, and grilled chicken","Bad day, bored, sadness",boredom,"Whenever I can, but that is not very often  ",American,Healthy and light,healthy/balanced/moderated/,Orange Juice,I don't eat as often,worse,less food,Never,yes part time ,Twice or three times per week ,Retired - Bus Driver,Italian,Italian/French/greek,cooked at home ,home fries,very likely ,Junior,3,"A vegetable, a protein, and a fruit",Healthy and light,portion control,"$30,001 to $50,000 ",very likely ,very likely ,In a relationship ,Stay-At-Home Mom,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Rec Volleyball,very likely,yes,140
Female,Cereal,nan,420,espresso shown,"Chocolate, ice cream, cookie dough","Boredom, being in your period, and long bus rides for softball",boredom,A couple of times a week ,American,"My meals consist of a vegetable, a meat and usually a carbohydrate. I eat a lot of fruit and snack in between meals on little things.",healthy/balanced/moderated/,Orange Juice,I tend to snack more and have smaller meals.,worse,more carbs or snacking,Never,yes part time ,Everyday,Transportation ,Italian ,Italian/French/greek,cooked at home ,home fries,very likely ,Junior,5,"A balanced meal with a protein, carbohydrate and a vegetable.","I would like to eat less carbohydrates, such as pasta and breads. I wish I knew how to incorporate healthier alternatives to the foods I eat.",balance,"$70,001 to $100,000 ",likely,very likely ,In a relationship ,Social Services,Almost everyday ,more than $40.01 ,veggie soup,Yes,Softball,very likely,yes,140
Male,Donut,it is moderately important ,980,espresso shown,"pizza, pretzels, fruit snacks, deli sandwhich","boredom, anger, happy",boredom,"Whenever I can, but that is not very often  ",American,I eat somewhat healthy. The food at egan is not the best.,unhealthy/cheap/too much/random/,Soda,I eat a lot less and more junk food.,worse,worse quality ,Never,yes part time ,Twice or three times per week ,Police Officer,Lean,none,store bought ,Mcdonald’s fries,very likely ,freshman ,3,salad,I would like to consume a lot more meat and protein. I want to consume more fruit.,more protein,"$70,001 to $100,000 ",neutral,very likely ,Single,Runs a Daycare,Almost everyday ,$5.01 to $10.00 ,veggie soup,No,nan,very likely,yes,140
Male,Cereal,it is very important,420,espresso shown,"Chips, ice cream","Boredom, stress",boredom,Every day ,American,I have a diet of meats and other high protein foods. ,unhealthy/cheap/too much/random/,Soda,I stopped drinking soda and only drink water now,better,drink more water,3-5 times ,no,Everyday,Risk Manager,Mexican,Spanish/mexican,cooked at home ,Mcdonald’s fries,neutral ,Sophomore ,1,"Protein source, vegetables, fruits, whole grains",A balanced diet with each food group. Getting enough protein and carbohydrates.,balance,"higher than $100,000",very unlikely ,very likely ,In a relationship ,Customer Service,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,baseball,likely,yes,200
Male,Donut,it is not at all important,420,creamy frapuccino,nan,nan,none,A couple of times a week ,Indian,nan,unclear,Soda,nan,the same,same food,Never,no,Twice or three times per week ,retire,nan,none,store bought ,Mcdonald’s fries,likely ,Junior,8,nan,nan,unclear,"$30,001 to $50,000 ",neutral,neutral,Married,nan,1-2 times a week ,$30.01 to $40.00 ,veggie soup,No,nan,likely,no,nan
Female,Cereal,it is moderately important ,420,espresso shown,"mac and cheese, potato soup, ice cream, chips and cheese","sadness, stressed, boredom",depression/sadness,"Whenever I can, but that is not very often  ",American,I normally eat a salad every day. I try to get at least every food group into my diet,healthy/balanced/moderated/,Orange Juice,I do not eat as many fruits and vegetables as I normally would as being home even though i do eat them still,worse,worse quality ,1-2 times ,yes part time ,Everyday,car salesman,italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,freshman ,6,"grilled meat, fruit, vegetable, and some grains",Eating all fruits and vegetables. Staying away from all the unhealthy foods.,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",likely,very likely ,In a relationship ,RN,2-3 times a week ,$20.01 to $30.00 ,veggie soup,No,I danced in high school,likely,yes,120
Female,Donut,it is moderately important ,420,creamy frapuccino,"chocolate, pizza, and mashed potatoes",boredom and stress,boredom,A couple of times a week ,American,Current diet is rather poor.  I eat a lot of chicken and carbs.  I also tend to eat a lot of desserts.,unhealthy/cheap/too much/random/,Soda,"I eat less healthy breakfast now, usually just grab something quick like a granola bar.",worse,worse quality ,1-2 times ,yes part time ,Twice or three times per week ,dairy farmer,american ,American,both bought at store and cooked at home,Mcdonald’s fries,likely ,Senior,4,a plate that has a variety of colors not just one color,"My idea diet would consist of eating more balanced diet consisting of fruits, vegetables, and meat.  I would like to not eat so much unhealthy junk food/desserts.",balance,"$30,001 to $50,000 ",very unlikely ,very likely ,Single,program director,Almost everyday ,$10.01 to $20.00 ,creamy soup,Yes,horse back riding,unlikely ,no,150
